Title,Authors,Source_Title,Publication_Year,DOI,Notes,country,region,level_of_data_collection,collection_method,confience,location_of_data_extraction,time_for_time_series,SPECIES,growth_type,taxa,Environment,MIN,MAX,AVERAGE,UNITS,SYSTEM notes,system,mean_tonnes_ha_year,fishprint_taxa,cal_100_g,p_100_g
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2012,Sargassum fusifarme,monoculture,algae,sw,,,17.46031746,mt dw/ha/y,,,174.6031746,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2005,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,16.93121693,mt dw/ha/y,,,169.3121693,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2007,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,16.93121693,mt dw/ha/y,,,169.3121693,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Other,monoculture,algae,sw,,,16.93121693,mt dw/ha/y,,,169.3121693,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2014,Other,monoculture,algae,sw,,,16.93121693,mt dw/ha/y,,,169.3121693,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Ulva prolifera,monoculture,algae,sw,,,16.93121693,mt dw/ha/y,,,169.3121693,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2013,Eucheuma,monoculture,algae,sw,,,16.4021164,mt dw/ha/y,,,164.021164,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Eucheuma,monoculture,algae,sw,,,16.4021164,mt dw/ha/y,,,164.021164,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Other,monoculture,algae,sw,,,16.4021164,mt dw/ha/y,,,164.021164,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Other,monoculture,algae,sw,,,16.4021164,mt dw/ha/y,,,164.021164,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Other,monoculture,algae,sw,,,16.4021164,mt dw/ha/y,,,164.021164,,,
How profitability assessment parameters score under large-scale commercial cultivation of different agarophyte seaweeds along south-eastern coast of India,"Mantri, VA; Dineshkumar, R; Yadav, A; Veeragurunathan, V; Ganesan, M; Eswaran, K; Thiruppathi, S",AQUACULTURE INTERNATIONAL,2022,10.1007/s10499-022-00866-y,"The cultivation of Ge. acerosa has yielded 18 t dry wt ha−1 year−1biomass in three harvests (Ganesan et al., 2009). The same was 35 t dry wt ha−1 year−1 biomass in six harvests in G. edulis (Ganesan et al., 2011a); 11.5 t dry wt ha−1 year−1 biomass in five harvests in G. duraand 56.7 t dry wt ha−1 year−1 biomass in six harvests in G. debilis (Veeragurunathan et al., 2015a, b; Veeragurunathan et al. 2019). However, the yield for other species of Gracilaria under various farming systems has also been reported in the literature, namely 47 t dry wt ha−1 year−1 for G. gracilis from South Africa by suspended rope technique (Wakibia et al., 2001); 18–29 t dry wt ha−1 year−1 for G. tikvahiae from Florida, USA, in pond culture (Hanisak and Ryther, 1986); 84–132 t dry wt ha−1 year−1 for G. chilensis (now Agarophyton chilensis)from Chile in sea bottom culture (Buschmann et al., 1995); and 40 t dry wt ha−1 year−1 for G. gracilis from Saldanha Bay, South Africa, by raft method (Anderson et al. 1996). TABLE 1",india,asia (not china),,,low,Review in in tro,2009,kappaphycus alvarezii,,algae,sw,,,18,t dw/ha/y,raft,on or off bottom,163.2933,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2006,Other,monoculture,algae,sw,,,15.87301587,mt dw/ha/y,,,158.7301587,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Other,monoculture,algae,sw,,,15.87301587,mt dw/ha/y,,,158.7301587,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Other,monoculture,algae,sw,,,15.87301587,mt dw/ha/y,,,158.7301587,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2012,Other,monoculture,algae,sw,,,15.87301587,mt dw/ha/y,,,158.7301587,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Undaria pinnatifida,monoculture,algae,sw,,,15.87301587,mt dw/ha/y,,,158.7301587,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2012,Undaria pinnatifida,monoculture,algae,sw,,,15.87301587,mt dw/ha/y,,,158.7301587,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2005,Other,monoculture,algae,sw,,,15.34391534,mt dw/ha/y,,,153.4391534,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2007,Other,monoculture,algae,sw,,,15.34391534,mt dw/ha/y,,,153.4391534,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Sargassum fusifarme,monoculture,algae,sw,,,15.34391534,mt dw/ha/y,,,153.4391534,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2013,Other,monoculture,algae,sw,,,14.81481481,mt dw/ha/y,,,148.1481481,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Eucheuma,monoculture,algae,sw,,,14.28571429,mt dw/ha/y,,,142.8571429,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Eucheuma,monoculture,algae,sw,,,14.28571429,mt dw/ha/y,,,142.8571429,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2014,Eucheuma,monoculture,algae,sw,,,14.28571429,mt dw/ha/y,,,142.8571429,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Other,monoculture,algae,sw,,,14.28571429,mt dw/ha/y,,,142.8571429,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Eucheuma,monoculture,algae,sw,,,13.75661376,mt dw/ha/y,,,137.5661376,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Sargassum fusifarme,monoculture,algae,sw,,,13.75661376,mt dw/ha/y,,,137.5661376,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Eucheuma,monoculture,algae,sw,,,12.6984127,mt dw/ha/y,,,126.984127,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2012,Other,monoculture,algae,sw,,,12.6984127,mt dw/ha/y,,,126.984127,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Undaria pinnatifida,monoculture,algae,sw,,,12.6984127,mt dw/ha/y,,,126.984127,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Eucheuma,monoculture,algae,sw,,,12.16931217,mt dw/ha/y,,,121.6931217,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Eucheuma,monoculture,algae,sw,,,12.16931217,mt dw/ha/y,,,121.6931217,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Other,monoculture,algae,sw,,,12.16931217,mt dw/ha/y,,,121.6931217,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2014,Sargassum fusifarme,monoculture,algae,sw,,,12.16931217,mt dw/ha/y,,,121.6931217,,,
Commercial marine fish farming in Singapore,"Chou, R; Lee, HB",AQUACULTURE RESEARCH,1997,,"There are 84 licensed fish farms occupying 46.5 hectares (ha) of coastal waters. Production from these farms accounts for the bulk of aquaculture production in Singapore, being 3554 tonnes (‘metric tons’, t) in 1995, or 98% of total production of 3625t. BANANA SHRIMP: 3 kg m--2 in 3 months",singapore,asia (not china),region,unclear,low,text page 774,1997,Fenneropenaeus merguiensis,monoculture,crustacean,sw,,,3,kg/m2/3months,,"cages, pens, or nets",120,shrimp,85,20.1
"Traditional vs. Integrated Multi-Trophic Aquaculture of Gracilaria chilensis C. J. Bird, J. McLachlan & E. C. Oliveira: Productivity and physiological performance","Abreu, Maria H.; Varela, Daniel A.; Henriquez, Luis; Villarroel, Adrian; Yarish, Charles; Sousa-Pinto, Isabel; Buschmann, Alejandro H.",AQUACULTURE,2009,10.1016/j.aquaculture.2009.03.043,averages from https://apps.automeris.io/wpd/,chile,south america,experiment,experiment,mid,Fig 3b,summer,Gracilaria,monoculture,algae,sw,,,983,g m−2month−1,Longline intertidal,on or off bottom,117.96,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Eucheuma,monoculture,algae,sw,,,11.64021164,mt dw/ha/y,,,116.4021164,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2012,Sargassum fusifarme,monoculture,algae,sw,,,11.64021164,mt dw/ha/y,,,116.4021164,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Sargassum fusifarme,monoculture,algae,sw,,,11.64021164,mt dw/ha/y,,,116.4021164,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2012,Eucheuma,monoculture,algae,sw,,,11.11111111,mt dw/ha/y,,,111.1111111,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2004,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,11.11111111,mt dw/ha/y,,,111.1111111,,,
How profitability assessment parameters score under large-scale commercial cultivation of different agarophyte seaweeds along south-eastern coast of India,"Mantri, VA; Dineshkumar, R; Yadav, A; Veeragurunathan, V; Ganesan, M; Eswaran, K; Thiruppathi, S",AQUACULTURE INTERNATIONAL,2022,10.1007/s10499-022-00866-y,"The cultivation of Ge. acerosa has yielded 18 t dry wt ha−1 year−1biomass in three harvests (Ganesan et al., 2009). The same was 35 t dry wt ha−1 year−1 biomass in six harvests in G. edulis (Ganesan et al., 2011a); 11.5 t dry wt ha−1 year−1 biomass in five harvests in G. duraand 56.7 t dry wt ha−1 year−1 biomass in six harvests in G. debilis (Veeragurunathan et al., 2015a, b; Veeragurunathan et al. 2019). However, the yield for other species of Gracilaria under various farming systems has also been reported in the literature, namely 47 t dry wt ha−1 year−1 for G. gracilis from South Africa by suspended rope technique (Wakibia et al., 2001); 18–29 t dry wt ha−1 year−1 for G. tikvahiae from Florida, USA, in pond culture (Hanisak and Ryther, 1986); 84–132 t dry wt ha−1 year−1 for G. chilensis (now Agarophyton chilensis)from Chile in sea bottom culture (Buschmann et al., 1995); and 40 t dry wt ha−1 year−1 for G. gracilis from Saldanha Bay, South Africa, by raft method (Anderson et al. 1996). TABLE 1",india,asia (not china),,,low,Review in in tro,2015,kappaphycus alvarezii,,algae,sw,,,11.5,t dw/ha/y,raft,on or off bottom,104.326275,,,
Economics of Sustainable Intensification of Aquaculture: Evidence from Shrimp Farms in Vietnam and Thailand,"Engle, Carole R.; McNevin, Aaron; Racine, Phoebe; Boyd, Claude E.; Paungkaew, Duangchai; Viriyatum, Rawee; Huynh Quoc Tinh; Hang Ngo Minh",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2017,10.1111/jwas.12423,survey then cluster analysis then average. corrected for # crops per year,vietnam,asia (not china),farm,survey,mid,Table 3,,penaeus monodon,monoculture,crustacean,sw,,,33972,kg/ha/year,ponds,ponds,101.92,shrimp,85,20.1
ENTEROMORPHA CLATHRATA - A POTENTIAL SEAWATER-IRRIGATED CROP,"MOLL, B; DEIKMAN, J",BIORESOURCE TECHNOLOGY,1995,10.1016/0960-8524(95)00036-E,100 metric tons/ha-year DRY WEIGHT,united states,north america,experiment,experiment ,high,Discussion,1995,ENTEROMORPHA CLATHRATA ,monoculture,algae,sw,,100,100,100 metric tons/ha-year,,ponds,100,,,
"Traditional vs. Integrated Multi-Trophic Aquaculture of Gracilaria chilensis C. J. Bird, J. McLachlan & E. C. Oliveira: Productivity and physiological performance","Abreu, Maria H.; Varela, Daniel A.; Henriquez, Luis; Villarroel, Adrian; Yarish, Charles; Sousa-Pinto, Isabel; Buschmann, Alejandro H.",AQUACULTURE,2009,10.1016/j.aquaculture.2009.03.043,averages from https://apps.automeris.io/wpd/,chile,south america,experiment,experiment,mid,Fig 3b,summer,Gracilaria,monoculture,algae,sw,,,803,g m−2month−1,Longline subtidal,on or off bottom,96.36,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2007,Eucheuma,monoculture,algae,sw,,,9.523809524,mt dw/ha/y,,,95.23809524,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2006,Eucheuma,monoculture,algae,sw,,,8.994708995,mt dw/ha/y,,,89.94708995,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2013,Sargassum fusifarme,monoculture,algae,sw,,,8.994708995,mt dw/ha/y,,,89.94708995,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Ulva prolifera,monoculture,algae,sw,,,8.994708995,mt dw/ha/y,,,89.94708995,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2004,Eucheuma,monoculture,algae,sw,,,8.465608466,mt dw/ha/y,,,84.65608466,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Sargassum fusifarme,monoculture,algae,sw,,,8.465608466,mt dw/ha/y,,,84.65608466,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Ulva prolifera,monoculture,algae,sw,,,8.465608466,mt dw/ha/y,,,84.65608466,,,
Effects of nitrogen and phosphorus from fish cage-culture on the communities of a shallow lake in middle Yangtze River basin of China,"Guo, LG; Li, ZJ",AQUACULTURE,2003,10.1016/S0044-8486(03)00478-2,"something is funky in this paper. they report 16MT but also 6576 kg? Net-cages in total covered an area of 1000 m2
and the annual fish yield was 16.0 metric tons (MT). 1.7 MT mandarin fish, 2.8 MT channel catfish,and 11.5 MT Chinese freshwater bream. In 230m2 (madarin) 110m2 (catfish) and 460m2 (bream). All of this was done in 8 months. I calculated monthly returns then extrapolated to a year since there wasn't a strong indication that production couldn't be done continuously",china,asia (not china),farm,farm,high,Table 1,,Madarin fish,polyculture,fish,fw,,,0.69130435,kg/m2/month,nets in a lake,"cages, pens, or nets",82.96,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Ulva prolifera,monoculture,algae,sw,,,7.936507937,mt dw/ha/y,,,79.36507937,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Sargassum fusifarme,monoculture,algae,sw,,,7.407407407,mt dw/ha/y,,,74.07407407,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2007,Ulva prolifera,monoculture,algae,sw,,,7.407407407,mt dw/ha/y,,,74.07407407,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2005,Eucheuma,monoculture,algae,sw,,,6.878306878,mt dw/ha/y,,,68.78306878,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Sargassum fusifarme,monoculture,algae,sw,,,6.878306878,mt dw/ha/y,,,68.78306878,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Ulva prolifera,monoculture,algae,sw,,,6.878306878,mt dw/ha/y,,,68.78306878,,,
